,Image,Labels_Rekognition,Labels_Vision,Labels_Azure
0,1_Roman_Republic_Plautius_Plancus_Denarius.jpg,"['Silver', 'Coin', 'Money', 'Person', 'Nickel', 'Head', 'Face', 'Grenade', 'Weapon', 'Dime']","['Head', 'Photograph', 'Coin', 'Currency', 'Nickel', 'Money', 'Artifact', 'Silver', 'Cash', 'Metal']","['coin (98.25%)', 'metal (94.81%)', 'currency (92.09%)', 'money (89.96%)', 'mint (88.83%)', 'bronze (88.17%)', 'nickel (87.81%)', 'cash (85.39%)', 'obverse (64.79%)', 'silver (51.24%)']"
1,air fryer.jpg,"['Device', 'Appliance', 'Electrical Device', 'Cooking', 'Oven', 'Roasting', 'Food', 'Pizza']","['Food', 'Recipe', 'Ingredient', 'Kitchen appliance', 'Home appliance', 'Cuisine', 'Dish', 'Natural foods', 'Cooking', 'Gas']","['kitchen appliance (98.15%)', 'appliance (97.87%)', 'home appliance (97.39%)', 'food (91.63%)', 'small appliance (89.67%)', 'fruit (87.24%)', 'indoor (86.84%)', 'cooking (84.99%)', 'oven (84.97%)', 'fast food (84.73%)']"
2,bicycle.jpg,"['Bicycle', 'Transportation', 'Vehicle', 'Machine', 'Wheel', 'Bmx']","['Bicycle', 'Wheel', 'Tire', 'Bicycles--Equipment and supplies', 'Crankset', 'Bicycle wheel', 'Bicycle frame', 'Bicycle seatpost', 'Bicycle wheel rim', 'Bicycle tire']","['bike (99.63%)', 'transport (99.04%)', 'bicycle wheel (98.55%)', 'bicycle frame (97.69%)', 'tire (97.62%)', 'land vehicle (96.94%)', 'bicycle tire (96.92%)', 'vehicle (96.79%)', 'bicycle fork (96.34%)', 'bicycle stem (95.38%)', 'bicycle saddle (95.14%)', 'bicycle (95.13%)', 'spoke (95.02%)', 'bicycle wheel rim (94.96%)', 'bicycles--equipment and supplies (94.84%)', 'bicycle handlebar (94.77%)', 'bicycle seatpost (94.37%)', 'cycling (91.97%)', 'road bicycle (91.22%)', 'hub gear (90.60%)', 'crankset (90.22%)', 'groupset (88.90%)', 'bicycle chain (88.56%)', 'hybrid bicycle (88.42%)', 'bicycle hub (87.63%)', 'bicycle seatpost clamp (86.69%)', 'bicycle pedal (85.63%)', 'cycle sport (85.23%)', 'gear (84.50%)', 'wall (72.81%)', 'wheel (61.61%)', 'parked (52.98%)']"
3,big spoons.jpg,"['Cutlery', 'Spoon', 'Bottle', 'Shaker', 'Kitchen Utensil', 'Spatula', 'Fork']","['Kitchen utensil', 'Tableware', 'Sports equipment', 'Office supplies', 'Gesture', 'Chair', 'Cutlery', 'Audio equipment', 'Personal protective equipment', 'Basic pump']","['kitchenware (99.66%)', 'kitchen utensil (95.04%)', 'turner (94.79%)']"
4,cd player.jpg,"['Cd Player', 'Electronics', 'Disk', 'Dvd', 'Cassette Player', 'Tape Player']","['Gadget', 'Audio equipment', 'Font', 'Multimedia', 'Software', 'Electronic device', 'Screenshot', 'Circle', 'Logo', 'Graphics']","['electronics (96.98%)', 'text (89.57%)', 'electronic device (86.77%)', 'music (75.90%)', 'compact disk (63.37%)', 'sound (59.32%)', 'design (42.46%)']"
5,chair.jpg,"['Furniture', 'Chair', 'Wood', 'Armchair', 'Indoors', 'Interior Design', 'Plywood']","['Furniture', 'Chair', 'Comfort', 'Wood', 'Rectangle', 'Floor', 'Flooring', 'Material property', 'Hardwood', 'Composite material']","['furniture (99.89%)', 'floor (96.78%)', 'chair (96.12%)', 'indoor (91.11%)', 'armrest (89.75%)', 'wall (85.60%)', 'stool (84.14%)', 'design (50.98%)']"
6,coin - japenese.jpg,"['Coin', 'Money', 'Cross', 'Symbol', 'Dime', 'Nickel']","['Coin', 'Currency', 'Money', 'Motor vehicle', 'Money handling', 'Font', 'Artifact', 'Emblem', 'Circle', 'Symbol']","['metal (93.92%)', 'coin (89.89%)', 'symbol (89.73%)', 'emblem (89.52%)', 'bronze (87.14%)', 'copper (86.87%)']"
7,dual cd player.jpg,"['Cd Player', 'Electronics', 'Disk', 'Tape Player', 'Cassette Player', 'Dvd', 'Amplifier', 'Stereo']","['Electronic device', 'Circle', 'Electronics accessory', 'Magenta', 'Record player', 'Blank media', 'Font', 'Data storage device']","['electronics (96.43%)', 'vinyl record (88.58%)', 'data storage device (87.95%)', 'text (87.55%)', 'record player (86.76%)', 'electronic device (85.06%)', 'compact disk (63.97%)', 'turntable (56.75%)', 'indoor (55.18%)', 'sound (54.31%)', 'music (47.67%)']"
8,fat tyre e-bike.jpg,"['Bicycle', 'Transportation', 'Vehicle', 'Moped', 'Motor Scooter', 'Motorcycle', 'Machine', 'Wheel', 'Scooter', 'Suspension']","['Bicycle', 'Wheel', 'Tire', 'Bicycles--Equipment and supplies', 'Bicycle frame', 'Crankset', 'Bicycle wheel rim', 'Bicycle tire', 'Bicycle wheel', 'Bicycle seatpost']","['tire (99.82%)', 'transport (99.20%)', 'land vehicle (98.59%)', 'vehicle (98.18%)', 'bike (96.61%)', 'spoke (96.43%)', 'bicycle wheel (93.52%)', 'bicycle (93.07%)', 'bicycle tire (92.52%)', 'bicycle frame (91.29%)', 'bicycle fork (89.93%)', 'bicycle seatpost (89.30%)', 'bicycle wheel rim (89.13%)', 'brake (88.86%)', 'bicycle saddle (88.44%)', 'rim (88.10%)', 'bicycles--equipment and supplies (87.71%)', 'crankset (87.29%)', 'carbon (87.15%)', 'bicycle stem (86.57%)', 'bicycle handlebar (86.37%)', 'groupset (86.00%)', 'cycling (85.17%)', 'vehicle brake (84.98%)', 'bicycle chain (84.45%)', 'parked (61.19%)', 'wheel (54.50%)']"
9,ferrari.jpg,"['Machine', 'Wheel', 'Tire', 'Car', 'Vehicle', 'Coupe', 'Sports Car', 'Car Wheel', 'Headlight', 'Bumper']","['Automotive parking light', 'Wheel', 'Tire', 'Vehicle', 'Car', 'Automotive side-view mirror', 'Hood', 'Automotive lighting', 'Automotive tire', 'Motor vehicle']","['land vehicle (98.39%)', 'supercar (97.81%)', 'vehicle (97.34%)', 'wheel (97.27%)', 'sports car (95.42%)', 'lamborghini (91.73%)', 'automotive design (91.49%)', 'porsche (86.30%)', 'lotus (85.00%)', 'luxury vehicle (84.96%)', 'hood (84.41%)', 'outdoor (83.72%)', 'ground (79.98%)', 'car (79.97%)', 'street (53.97%)']"
