,Image,Labels_Rekognition,Labels_Vision,Labels_Azure
0,americans on moon.jpg,"['Aircraft', 'Airplane', 'Landing', 'Glove', 'Baby', 'Person', 'American Flag', 'Flag', 'Astronomy', 'Outer Space']","['Flag', 'Astronaut', 'Cargo pants', 'Flag of the united states', 'Military uniform', 'Moon', 'Military person', 'Marines', 'Soldier', 'Astronomical object']","['outdoor (97.03%)', 'clothing (91.83%)', 'ground (87.42%)', 'flag (68.94%)', 'person (68.16%)']"
1,Carnival-YasuyoshiChiba.jpg,"['Carnival', 'Adult', 'Bride', 'Female', 'Person', 'Woman', 'Face', 'Head', 'Dancing', 'Festival']","['Light', 'Lighting', 'Landmark', 'Fun', 'City', 'Event', 'Entertainment', 'Leisure', 'Crowd', 'Fan']","['festival (91.10%)', 'sky (86.63%)', 'outdoor (85.16%)', 'carnival (81.79%)', 'person (59.81%)', 'night (45.99%)']"
2,Christ statute brazil.jpg,"['Art', 'Adult', 'Male', 'Man', 'Person', 'Sculpture', 'Statue', 'Landmark', 'Building', 'Tower']","['Mountain', 'Sky', 'World', 'Azure', 'Natural landscape', 'Highland', 'Sculpture', 'Tree', 'Statue', 'Landscape']","['outdoor (99.35%)', 'mountain (98.80%)', 'sky (95.75%)', 'tree (88.81%)', 'hill station (86.97%)', 'landscape (86.68%)', 'tower (86.42%)']"
3,colosseum.jpg,"['Colosseum', 'Landmark', 'Person', 'Car', 'Transportation', 'Vehicle']","['Cloud', 'Sky', 'Plant', 'Building', 'Tree', 'Facade', 'City', 'Landscape', 'Column', 'Monument']","['building (99.79%)', 'sky (99.42%)', 'outdoor (99.21%)', 'cloud (99.11%)', 'landmark (92.29%)', 'tree (92.04%)', 'stadium (90.76%)', 'historic site (89.72%)', 'ancient roman architecture (84.09%)', 'ground (73.50%)', 'landscape (67.88%)', 'sunrise (51.55%)']"
4,Eddie-Adams-1968-saigon-execution-.jpg,"['Helmet', 'Adult', 'Male', 'Man', 'Person', 'Mobile Phone', 'Gun', 'Weapon', 'Firearm', 'Handgun']","['White', 'Black', 'Tartan', 'Building', 'Black-and-white', 'Gesture', 'Style', 'Window', 'Plaid', 'Monochrome photography']","['clothing (99.86%)', 'outdoor (99.67%)', 'person (99.61%)', 'human face (97.89%)', 'black and white (96.88%)', 'man (88.07%)', 'monochrome (87.88%)', 'street (87.48%)', 'style (85.43%)', 'road (85.11%)', 'people (59.28%)', 'city (58.06%)', 'ground (56.30%)']"
5,egypt_sphinx-2.jpg,"['Landmark', 'The Great Sphinx', 'Architecture', 'Building', 'Pyramid']","['Sky', 'Cloud', 'Sculpture', 'Landscape', 'Building material', 'Pyramid', 'Monument', 'Wonders of the world', 'Archaeological site', 'Art']","['building (99.23%)', 'sky (98.77%)', 'ancient history (96.90%)', 'pyramid (96.41%)', 'outdoor (94.92%)', 'historic site (94.85%)', 'history (93.83%)', 'monument (93.35%)', 'unesco world heritage site (92.45%)', 'archaeological site (90.82%)', 'wonders of the world (89.91%)', 'egyptian temple (89.61%)', 'desert (88.88%)', 'landmark (85.40%)', 'sand (84.32%)', 'ground (70.35%)']"
6,Eiffel_Tower under construction.jpg,"['Person', 'Building', 'Eiffel Tower', 'Landmark', 'Tower', 'City', 'Monastery', 'Cityscape', 'Metropolis', 'Arch']","['Sky', 'Architecture', 'Cloud', 'Building', 'Tree', 'Landmark', 'Metropolis', 'City', 'Monument', 'Tower']","['building (99.80%)', 'sky (99.07%)', 'outdoor (98.53%)', 'black and white (97.40%)', 'tree (91.49%)', 'landmark (90.97%)', 'fog (89.87%)', 'bridge (88.32%)', 'city (85.49%)', 'tower (69.77%)']"
7,Festival dance group.jpg,"['Carnival', 'Dancing', 'Person', 'Adult', 'Female', 'Woman', 'Bride', 'Face', 'Head', 'Necklace']","['Clothing', 'Face', 'Head', 'Eye', 'Photograph', 'Organ', 'Entertainment', 'Human', 'Human body', 'Performing arts']","['showgirl (94.72%)', 'carnival (91.83%)', 'dance (91.40%)', 'human face (91.19%)', 'entertainment (87.88%)', 'festival (87.01%)', 'mardi gras (86.82%)', 'dancer (86.75%)', 'samba (86.19%)', 'clothing (84.65%)', 'woman (84.58%)', 'person (74.60%)', 'dancing (48.45%)']"
8,festival of dead.jpg,"['Festival', 'Adult', 'Bride', 'Female', 'Person', 'Woman', 'Face', 'Halloween', 'Necklace', 'Hat']","['Fashion', 'Hat', 'Headgear', 'Entertainment', 'Sun hat', 'Event', 'Eyewear', 'Tradition', 'Fun', 'Sky']","['parade (98.48%)', 'clothing (98.20%)', 'outdoor (97.42%)', 'woman (95.82%)', 'carnival (94.16%)', 'person (92.72%)', 'festival (91.92%)', 'smile (91.35%)', 'fashion accessory (89.38%)', 'costume (87.69%)', 'street (86.67%)', 'human face (86.00%)', 'sunglasses (84.42%)', 'people (61.89%)', 'city (58.09%)']"
9,gandhi-spinning-wheel.jpg,"['Adult', 'Male', 'Man', 'Person', 'Face', 'Head', 'Wheel', 'Glasses', 'Beard', 'Working Out']","['Black-and-white', 'Style', 'Tints and shades', 'Automotive wheel system', 'Spoke', 'Monochrome photography', 'Wheel', 'Monochrome', 'Hat', 'Art']","['black and white (97.36%)', 'clothing (93.71%)', 'person (93.55%)', 'statue (92.63%)', 'man (88.14%)', 'sitting (80.91%)', 'ground (77.85%)', 'black (70.32%)', 'monochrome (64.93%)', 'indoor (61.76%)']"
