,Image,Labels_Rekognition,Labels_Vision,Labels_Azure
0,Bangor-Graduation-21.jpg,"['People', 'Person', 'Coat', 'Adult', 'Male', 'Man', 'Female', 'Woman', 'Student', 'Graduation']","['Outerwear', 'Smile', 'Black', 'Mortarboard', 'Scholar', 'Academic dress', 'Graduation', 'Gesture', 'Sleeve', 'Headgear']","['commencement (99.31%)', 'graduation (98.81%)', 'human face (97.95%)', 'person (97.86%)', 'scholar (97.66%)', 'academic dress (97.41%)', 'clothing (97.33%)', 'academic costume (96.82%)', 'mortarboard (95.85%)', 'college (95.28%)', 'smile (93.01%)', 'outdoor (91.73%)', 'university (90.26%)', 'diploma (89.23%)', 'student (86.06%)', 'academic institution (84.62%)', 'cloak (84.08%)', 'woman (76.64%)']"
1,cooking at home.jpg,"['Adult', 'Male', 'Man', 'Person', 'Female', 'Woman', 'Cookware', 'Plant', 'Cooking Pot', 'Stirring Food']","['Smile', 'Cooking', 'Food', 'Kitchen appliance', 'Recipe', 'Home appliance', 'Tableware', 'Kitchen', 'Countertop', 'Beard']","['person (99.50%)', 'clothing (99.04%)', 'indoor (95.58%)', 'kitchen appliance (93.11%)', 'wall (90.52%)', 'human face (90.13%)', 'home appliance (89.70%)', 'smile (85.63%)', 'countertop (84.65%)', 'appliance (70.45%)', 'kitchen (70.41%)', 'woman (61.84%)', 'standing (59.04%)', 'stove (52.72%)']"
2,cooking-at-home.jpg,"['Cooking', 'Food', 'Stirring Food', 'Child', 'Female', 'Girl', 'Person', 'Cooking Pot', 'Pot', 'Cooktop']","['Food', 'Tableware', 'Table', 'Sharing', 'Window', 'Recipe', 'Mixing bowl', 'Happy', 'Plate', 'Smile']","['person (99.89%)', 'clothing (99.80%)', 'human face (98.68%)', 'tableware (93.27%)', 'bowl (93.24%)', 'food (89.90%)', 'indoor (89.55%)', 'wall (89.08%)', 'toddler (88.42%)', 'mixing bowl (87.25%)', 'boy (86.31%)', 'sharing (86.03%)', 'meal (84.97%)', 'woman (72.74%)', 'child (69.44%)', 'people (65.66%)', 'girl (57.07%)', 'kitchen (55.49%)', 'family (55.22%)']"
3,girl with shopping bags.jpg,"['Person', 'Shopping', 'Adult', 'Female', 'Woman', 'Bag', 'Face', 'Head', 'Shopping Bag', 'Accessories']","['Glasses', 'Vision care', 'Goggles', 'Sunglasses', 'Fashion', 'Gesture', 'Eyewear', 'Microphone', 'Plant', 'Beauty']","['clothing (96.87%)', 'human face (96.70%)', 'fashion accessory (96.20%)', 'person (95.98%)', 'outdoor (93.27%)', 'glasses (88.46%)', 'accessory (87.86%)', 'handbag (87.64%)', 'goggles (86.04%)', 'eyewear (84.64%)', 'woman (74.86%)', 'sunglasses (62.88%)', 'fashion (43.69%)']"
4,kids in class.jpg,"['Child', 'Female', 'Girl', 'Person', 'Boy', 'Male', 'Monitor', 'Student', 'Handbag', 'Kindergarten']","['Blue', 'Sharing', 'Television set', 'Social group', 'Leisure', 'T-shirt', 'Television', 'Toddler', 'Child', 'Event']","['clothing (98.68%)', 'indoor (98.17%)', 'person (95.33%)', 'girl (94.43%)', 'boy (94.28%)', 'toddler (93.98%)', 'school (93.89%)', 'kindergarten (93.43%)', 'learning (90.35%)', 'human face (87.56%)', 'education (87.42%)', 'class (85.97%)', 'child (82.85%)', 'wall (74.88%)', 'group (70.15%)', 'room (66.13%)']"
5,London tube rush hour.jpg,"['People', 'Person', 'Adult', 'Male', 'Man', 'Boarding', 'Boy', 'Child', 'Female', 'Woman']","['Train', 'Vehicle', 'Motor vehicle', 'Rolling stock', 'Hat', 'Mode of transport', 'Public transport', 'Travel', 'Jacket', 'Passenger']","['clothing (98.51%)', 'person (98.34%)', 'people (94.96%)', 'vehicle (94.49%)', 'man (92.90%)', 'passenger (92.81%)', 'group (91.81%)', 'jacket (88.35%)', 'outdoor (78.95%)', 'crowd (72.95%)', 'train (50.07%)', 'subway (45.42%)']"
6,london-englanduk-covent-gardenmarketshopping-shopper.jpg,"['Kiosk', 'Shorts', 'Path', 'City', 'Adult', 'Male', 'Man', 'Person', 'Child', 'Girl']","['Photograph', 'Temple', 'Selling', 'Shopping', 'Leisure', 'Market', 'Travel', 'City', 'Retail', 'Fun']","['clothing (99.81%)', 'scene (98.91%)', 'person (98.64%)', 'market (97.27%)', 'building (97.01%)', 'street (96.49%)', 'outdoor (95.10%)', 'man (94.92%)', 'trade (94.83%)', 'bazaar (94.68%)', 'footwear (94.36%)', 'shopping (93.89%)', 'retail (93.15%)', 'flea market (93.04%)', 'selling (91.28%)', 'shop (90.84%)', 'public space (87.28%)', 'marketplace (87.20%)', 'people (76.66%)', 'store (63.77%)', 'ground (61.68%)', 'standing (59.27%)', 'woman (56.13%)']"
7,musician on street mixed race.jpg,"['Adult', 'Male', 'Man', 'Person', 'Guitar', 'Chair', 'Shoe', 'Music Band', 'Musician', 'Performer']","['Musical instrument', 'Shoe', 'Musician', 'Blue', 'Guitar', 'Hat', 'Window', 'Drum', 'String instrument', 'Plucked string instruments']","['musical instrument (99.92%)', 'music (99.37%)', 'clothing (98.95%)', 'person (98.41%)', 'outdoor (95.96%)', 'drum (95.44%)', 'guitar (94.99%)', 'street performance (94.47%)', 'building (93.82%)', 'man (89.62%)', 'ground (89.01%)', 'string instrument (87.94%)', 'folk instrument (85.59%)', 'hat (84.79%)', 'people (82.16%)', 'sitting (79.24%)', 'group (72.11%)', 'street (65.31%)']"
8,new-orleans-musicians-luisiana.jpg,"['Adult', 'Female', 'Person', 'Woman', 'Group Performance', 'Music Band', 'Male', 'Man', 'City', 'Guitar']","['Musical instrument', 'Drum', 'Infrastructure', 'Musician', 'Building', 'Folk instrument', 'String instrument', 'Music', 'Road', 'Band plays']","['musical instrument (99.79%)', 'music (99.05%)', 'clothing (98.99%)', 'person (98.92%)', 'outdoor (98.24%)', 'street performance (97.74%)', 'building (97.67%)', 'street (95.76%)', 'man (94.80%)', 'footwear (94.14%)', 'road (93.60%)', 'cello (91.15%)', 'street artist (90.42%)', 'string instrument (90.20%)', 'drum (87.72%)', 'people (87.42%)', 'pedestrian (85.27%)', 'folk instrument (85.14%)', 'musician (84.96%)', 'city (81.30%)', 'group (67.53%)', 'standing (62.37%)']"
9,office workers-online meeting.jpg,"['Adult', 'Female', 'Person', 'Woman', 'Laptop', 'Chair', 'Monitor', 'Mobile Phone', 'Conversation', 'Shoe']","['Table', 'Computer', 'Laptop', 'Furniture', 'Shirt', 'Personal computer', 'Chair', 'Interior design', 'Interaction', 'Leisure']","['clothing (98.46%)', 'furniture (98.39%)', 'person (98.34%)', 'indoor (98.20%)', 'office building (95.59%)', 'desk (93.65%)', 'laptop (93.30%)', 'window (93.16%)', 'chair (92.29%)', 'people (89.11%)', 'computer (88.71%)', 'sitting (82.27%)', 'table (80.29%)', 'wall (79.47%)', 'group (75.89%)', 'woman (68.55%)']"
